GTF_tag,Locus_tag,Gene_name,Product
gene-Rv0624,Rv0624,vapC30,Possible toxin VapC30. Contains PIN domain.
gene-Rv0625c,Rv0625c,Rv0625c,Probable conserved transmembrane protein
gene-Rv0626,Rv0626,Rv0626,Possible antitoxin VapB5
gene-Rv0627,Rv0627,Rv0627,Possible toxin VapC5
gene-Rv0628c,Rv0628c,Rv0628c,Conserved hypothetical protein
gene-Rv0629c,Rv0629c,recD,Probable exonuclease V (alpha chain) RecD (exodeoxyribonuclease V alpha chain) (exodeoxyribonuclease V polypeptide)
gene-Rv0630c,Rv0630c,recB,Probable exonuclease V (beta chain) RecB (exodeoxyribonuclease V beta chain)(exodeoxyribonuclease V polypeptide) (chi-specific endonuclease)
gene-Rv0631c,Rv0631c,recC,Probable exonuclease V (gamma chain) RecC (exodeoxyribonuclease V gamma chain)(exodeoxyribonuclease V polypeptide)
gene-Rv0632c,Rv0632c,echA3,Probable enoyl-CoA hydratase EchA3 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)
gene-Rv0633c,Rv0633c,Rv0633c,Possible exported protein
gene-Rv0634c,Rv0634c,Rv0634A,Possible glyoxalase II (hydroxyacylglutathione hydrolase) (GLX II)
gene-Rv0634A,Rv0634A,rpmG2,Unknown protein
gene-Rv0634B,Rv0634B,Rv0634c,50S ribosomal protein L33 RpmG2
gene-Rv0635,Rv0635,hadA,(3R)-hydroxyacyl-ACP dehydratase subunit HadA
gene-Rv0636,Rv0636,hadB,(3R)-hydroxyacyl-ACP dehydratase subunit HadB
gene-Rv0637,Rv0637,hadC,(3R)-hydroxyacyl-ACP dehydratase subunit HadC
gene-Rv0638,Rv0638,secE1,Probable preprotein translocase SecE1
gene-Rv0639,Rv0639,nusG,Probable transcription antitermination protein NusG
gene-Rv0640,Rv0640,rplK,50S ribosomal protein L11 RplK
gene-Rv0641,Rv0641,rplA,50S ribosomal protein L1 RplA
gene-Rv0642c,Rv0642c,mmaA4,Methoxy mycolic acid synthase 4 MmaA4 (methyl mycolic acid synthase 4) (MMA4) (hydroxy mycolic acid synthase)
gene-Rv0643c,Rv0643c,mmaA3,Methoxy mycolic acid synthase 3 MmaA3 (methyl mycolic acid synthase 3) (MMA3) (hydroxy mycolic acid synthase)
gene-Rv0644c,Rv0644c,mmaA2,Methoxy mycolic acid synthase 2 MmaA2 (methyl mycolic acid synthase 2) (MMA2) (hydroxy mycolic acid synthase)
gene-Rv0645c,Rv0645c,mmaA1,Methoxy mycolic acid synthase 1 MmaA1 (methyl mycolic acid synthase 1) (MMA1) (hydroxy mycolic acid synthase)
gene-Rv0646c,Rv0646c,lipG,Probable lipase/esterase LipG
gene-Rv0647c,Rv0647c,Rv0647c,Conserved protein
gene-Rv0648,Rv0648,Rv0648,Alpha-mannosidase
gene-Rv0649,Rv0649,fabD2,Possible malonyl CoA-acyl carrier protein transacylase FabD2 (MCT)
gene-Rv0650,Rv0650,Rv0650,Possible sugar kinase
gene-Rv0651,Rv0651,rplJ,50S ribosomal protein L10 RplJ
gene-Rv0652,Rv0652,rplL,50S ribosomal protein L7/L12 RplL (SA1)
gene-Rv0653c,Rv0653c,Rv0653c,Possible transcriptional regulatory protein (probably TetR-family)
gene-Rv0654,Rv0654,Rv0654,Probable dioxygenase
gene-Rv0655,Rv0655,mkl,Possible ribonucleotide-transport ATP-binding protein ABC transporter Mkl
gene-Rv0656c,Rv0656c,vapC6,Possible toxin VapC6
gene-Rv0657c,Rv0657c,vapB6,Possible antitoxin VapB6
gene-Rv0658c,Rv0658c,Rv0658c,Probable conserved integral membrane protein
gene-Rv0659c,Rv0659c,mazF2,Toxin MazF2
gene-Rv0660c,Rv0660c,mazE2,Possible antitoxin MazE2
gene-Rv0661c,Rv0661c,vapC7,Possible toxin VapC7
gene-Rv0662c,Rv0662c,vapB7,Possible antitoxin VapB7
gene-Rv0663,Rv0663,atsD,Possible arylsulfatase AtsD (aryl-sulfate sulphohydrolase) (arylsulphatase)
gene-Rv0664,Rv0664,vapB8,Possible antitoxin VapB8
gene-Rv0665,Rv0665,vapC8,Possible toxin VapC8
gene-Rv0666,Rv0666,Rv0666,Possible membrane protein
gene-Rv0667,Rv0667,rpoB,DNA-directed RNA polymerase (beta chain) RpoB (transcriptase beta chain) (RNA polymerase beta subunit)
gene-Rv0668,Rv0668,rpoC,DNA-directed RNA polymerase (beta' chain) RpoC (transcriptase beta' chain) (RNA polymerase beta' subunit).
gene-Rv0669c,Rv0669c,Rv0669c,Possible hydrolase
gene-Rv0670,Rv0670,end,Probable endonuclease IV End (endodeoxyribonuclease IV) (apurinase)
gene-Rv0671,Rv0671,lpqP,Possible conserved lipoprotein LpqP
gene-Rv0672,Rv0672,fadE8,Probable acyl-CoA dehydrogenase FadE8
gene-Rv0673,Rv0673,echA4,Possible enoyl-CoA hydratase EchA4 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)
gene-Rv0674,Rv0674,Rv0674,Conserved hypothetical protein
gene-Rv0675,Rv0675,echA5,Probable enoyl-CoA hydratase EchA5 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)
gene-Rv0676c,Rv0676c,mmpL5,Probable conserved transmembrane transport protein MmpL5
gene-Rv0677c,Rv0677c,mmpS5,Possible conserved membrane protein MmpS5
gene-Rv0678,Rv0678,Rv0678,Conserved protein
gene-Rv0679c,Rv0679c,Rv0679c,Conserved threonine rich protein
gene-Rv0680c,Rv0680c,Rv0680c,Probable conserved transmembrane protein
gene-Rv0681,Rv0681,Rv0681,Probable transcriptional regulatory protein (possibly TetR-family)
gene-Rv0682,Rv0682,rpsL,30S ribosomal protein S12 RpsL
gene-Rv0683,Rv0683,rpsG,30S ribosomal protein S7 RpsG
gene-Rv0684,Rv0684,fusA1,Probable elongation factor G FusA1 (EF-G)
gene-Rv0685,Rv0685,tuf,Probable iron-regulated elongation factor TU Tuf (EF-TU)
gene-Rv0686,Rv0686,Rv0686,Probable membrane protein
gene-Rv0687,Rv0687,Rv0687,Probable short-chain type dehydrogenase/reductase
gene-Rv0688,Rv0688,Rv0688,Putative ferredoxin reductase
gene-Rv0689c,Rv0689c,Rv0689c,Hypothetical protein
gene-Rv0690c,Rv0690c,Rv0690c,Conserved hypothetical protein
gene-Rv0691c,Rv0691c,Rv0691c,Probable transcriptional regulatory protein
gene-Rv0691A,Rv0691A,Rv0691A,Mycofactocin precursor protein
gene-Rv0692,Rv0692,Rv0692,Conserved hypothetical protein
gene-Rv0693,Rv0693,pqqE,Probable coenzyme PQQ synthesis protein E PqqE (coenzyme PQQ synthesis protein III)
gene-Rv0694,Rv0694,lldD1,Possible L-lactate dehydrogenase (cytochrome) LldD1
gene-Rv0695,Rv0695,Rv0695,Conserved hypothetical protein
gene-Rv0696,Rv0696,Rv0696,Probable membrane sugar transferase
gene-Rv0697,Rv0697,Rv0697,Probable dehydrogenase
gene-Rv0698,Rv0698,Rv0698,Conserved hypothetical protein
gene-Rv0699,Rv0699,Rv0699,Hypothetical protein
gene-Rv0700,Rv0700,rpsJ,30S ribosomal protein S10 RpsJ (transcription antitermination factor NusE)
gene-Rv0701,Rv0701,rplC,50S ribosomal protein L3 RplC
gene-Rv0702,Rv0702,rplD,50S ribosomal protein L4 RplD
gene-Rv0703,Rv0703,rplW,50S ribosomal protein L23 RplW
gene-Rv0704,Rv0704,rplB,50S ribosomal protein L2 RplB
gene-Rv0705,Rv0705,rpsS,30S ribosomal protein S19 RpsS
gene-Rv0706,Rv0706,rplV,50S ribosomal protein L22 RplV
gene-Rv0707,Rv0707,rpsC,30S ribosomal protein S3 RpsC
gene-Rv0708,Rv0708,rplP,50S ribosomal protein L16 RplP
gene-Rv0709,Rv0709,rpmC,50S ribosomal protein L29 RpmC
gene-Rv0710,Rv0710,rpsQ,30S ribosomal protein S17 RpsQ
gene-Rv0711,Rv0711,atsA,Possible arylsulfatase AtsA (aryl-sulfate sulphohydrolase) (arylsulphatase)
gene-Rv0712,Rv0712,Rv0712,Conserved protein
gene-Rv0713,Rv0713,Rv0713,Probable conserved transmembrane protein
gene-Rv0714,Rv0714,rplN,50S ribosomal protein L14 RplN
gene-Rv0715,Rv0715,rplX,50S ribosomal protein L24 RplX
gene-Rv0716,Rv0716,rplE,50S ribosomal protein L5 RplE
gene-Rv0717,Rv0717,rpsN1,30S ribosomal protein S14 RpsN1
gene-Rv0718,Rv0718,rpsH,30S ribosomal protein S8 RpsH
gene-Rv0719,Rv0719,rplF,50S ribosomal protein L6 RplF
gene-Rv0720,Rv0720,rplR,50S ribosomal protein L18 RplR
gene-Rv0721,Rv0721,rpsE,30S ribosomal protein S5 RpsE
gene-Rv0722,Rv0722,rpmD,50S ribosomal protein L30 RpmD
gene-Rv0723,Rv0723,rplO,50S ribosomal protein L15 RplO
gene-Rv0724,Rv0724,sppA,Possible protease IV SppA (endopeptidase IV) (signal peptide peptidase)
gene-Rv0724A,Rv0724A,Rv0724A,Conserved hypothetical protein
gene-Rv0725c,Rv0725c,Rv0725c,Conserved hypothetical protein
gene-Rv0726c,Rv0726c,Rv0726c,Possible S-adenosylmethionine-dependent methyltransferase
gene-Rv0727c,Rv0727c,fucA,Possible L-fuculose phosphate aldolase FucA (L-fuculose-1-phosphate aldolase)
gene-Rv0728c,Rv0728c,serA2,Possible D-3-phosphoglycerate dehydrogenase SerA2 (phosphoglycerate dehydrogenase) (PGDH)
gene-Rv0729,Rv0729,xylB,Possible D-xylulose kinase XylB (xylulokinase) (xylulose kinase)
gene-Rv0730,Rv0730,Rv0730,GCN5-related N-acetyltransferase
gene-Rv0731c,Rv0731c,Rv0731c,Possible S-adenosylmethionine-dependent methyltransferase
gene-Rv0732,Rv0732,secY,Probable preprotein translocase SecY
gene-Rv0733,Rv0733,adk,Adenylate kinase Adk (ATP-AMP transphosphorylase)
gene-Rv0734,Rv0734,mapA,Methionine aminopeptidase MapA (map) (peptidase M) (MetAP)
gene-Rv0735,Rv0735,sigL,Probable alternative RNA polymerase sigma factor SigL
gene-Rv0736,Rv0736,rslA,Anti-sigma factor RslA
gene-Rv0737,Rv0737,Rv0737,Possible transcriptional regulatory protein
gene-Rv0738,Rv0738,Rv0738,Conserved protein
gene-Rv0739,Rv0739,Rv0739,Conserved hypothetical protein
gene-Rv0740,Rv0740,Rv0740,Conserved hypothetical protein
gene-Rv0741,Rv0741,Rv0741,Probable transposase (fragment)
gene-Rv0742,Rv0742,PE-PGRS8,PE-PGRS family protein PE_PGRS8
gene-Rv0743c,Rv0743c,Rv0743c,Hypothetical protein
gene-Rv0744c,Rv0744c,Rv0744c,Possible transcriptional regulatory protein
gene-Rv0745,Rv0745,Rv0745,Conserved hypothetical protein
gene-Rv0746,Rv0746,PE-PGRS9,PE-PGRS family protein PE_PGRS9
gene-Rv0747,Rv0747,PE-PGRS10,PE-PGRS family protein PE_PGRS10
gene-Rv0748,Rv0748,vapB31,Possible antitoxin VapB31
gene-Rv0749,Rv0749,vapC31,Possible toxin VapC31. Contains PIN domain.
gene-Rv0749A,Rv0749A,Rv0749A,Hypothetical protein (fragment)
gene-Rv0750,Rv0750,Rv0750,Conserved hypothetical protein
gene-Rv0751c,Rv0751c,mmsB,Probable 3-hydroxyisobutyrate dehydrogenase MmsB (hibadh)
gene-Rv0752c,Rv0752c,fadE9,Probable acyl-CoA dehydrogenase FadE9
gene-Rv0753c,Rv0753c,mmsA,Probable methylmalonate-semialdehyde dehydrogenase MmsA (methylmalonic acid semialdehyde dehydrogenase) (MMSDH)
gene-Rv0754,Rv0754,PE-PGRS11,PE-PGRS family protein PE_PGRS11
gene-Rv0755c,Rv0755c,Rv0755A,PPE family protein PPE12
gene-Rv0755A,Rv0755A,PPE12,Putative transposase (fragment)
gene-Rv0756c,Rv0756c,Rv0756c,Unknown protein
gene-Rv0757,Rv0757,phoP,Possible two component system response transcriptional positive regulator PhoP
gene-Rv0758,Rv0758,phoR,Possible two component system response sensor kinase membrane associated PhoR
gene-Rv0759c,Rv0759c,Rv0759c,Conserved hypothetical protein
gene-Rv0760c,Rv0760c,Rv0760c,Conserved protein
gene-Rv0761c,Rv0761c,adhB,Possible zinc-containing alcohol dehydrogenase NAD dependent AdhB
gene-Rv0762c,Rv0762c,Rv0762c,Conserved hypothetical protein
gene-Rv0763c,Rv0763c,Rv0763c,Possible ferredoxin
gene-Rv0764c,Rv0764c,cyp51,Cytochrome P450 51 Cyp51 (CYPL1) (P450-L1A1) (sterol 14-alpha demethylase) (lanosterol 14-alpha demethylase) (P450-14DM)
gene-Rv0765c,Rv0765c,Rv0765c,Probable oxidoreductase
gene-Rv0766c,Rv0766c,cyp123,Probable cytochrome P450 123 Cyp123
gene-Rv0767c,Rv0767c,Rv0767c,Conserved hypothetical protein
gene-Rv0768,Rv0768,aldA,Probable aldehyde dehydrogenase NAD dependent AldA (aldehyde dehydrogenase [NAD+])
gene-Rv0769,Rv0769,Rv0769,Probable dehydrogenase/reductase
gene-Rv0770,Rv0770,Rv0770,Probable dehydrogenase/reductase
gene-Rv0771,Rv0771,Rv0771,Possible 4-carboxymuconolactone decarboxylase (CMD)
gene-Rv0772,Rv0772,purD,Probable phosphoribosylamine--glycine ligase PurD (GARS) (glycinamide ribonucleotide synthetase) (phosphoribosylglycinamide synthetase) (5'-phosphoribosylglycinamide synthetase)
gene-Rv0773c,Rv0773c,ggtA,Probable bifunctional acylase GgtA: cephalosporin acylase (GL-7ACA acylase) + gamma-glutamyltranspeptidase (GGT)
gene-Rv0774c,Rv0774c,Rv0774c,Probable conserved exported protein
gene-Rv0775,Rv0775,Rv0775,Conserved hypothetical protein
gene-Rv0776c,Rv0776c,Rv0776c,Conserved hypothetical protein
gene-Rv0777,Rv0777,purB,Probable adenylosuccinate lyase PurB (adenylosuccinase) (ASL) (ASASE)
gene-Rv0778,Rv0778,cyp126,Possible cytochrome P450 126 Cyp126
gene-Rv0779c,Rv0779c,Rv0779c,Possible conserved transmembrane protein
gene-Rv0780,Rv0780,purC,Phosphoribosylaminoimidazole- succinocarboxamide synthase PurC (SAICAR synthetase)
gene-Rv0781,Rv0781,ptrBa,Probable protease II PtrBa [first part] (oligopeptidase B)
gene-Rv0782,Rv0782,ptrBb,Probable protease II PtrBb [second part] (oligopeptidase B)
gene-Rv0783c,Rv0783c,emrB,Possible multidrug resistance integral membrane efflux protein EmrB
gene-Rv0784,Rv0784,Rv0784,Conserved hypothetical protein
gene-Rv0785,Rv0785,Rv0785,Conserved protein
gene-Rv0786c,Rv0786c,Rv0786c,Conserved protein
gene-Rv0787,Rv0787,Rv0787,Unknown protein
gene-Rv0787A,Rv0787A,Rv0787A,Conserved protein
gene-Rv0788,Rv0788,purQ,Probable phosphoribosylformylglycinamidine synthase I PURG (FGAM synthase I)
gene-Rv0789c,Rv0789c,Rv0789c,Hypothetical protein
gene-Rv0790c,Rv0790c,Rv0790c,Hypothetical protein
gene-Rv0791c,Rv0791c,Rv0791c,Conserved protein
gene-Rv0792c,Rv0792c,Rv0792c,Probable transcriptional regulatory protein (probably GntR-family)
gene-Rv0793,Rv0793,Rv0793,Possible monooxygenase
gene-Rv0794c,Rv0794c,Rv0794c,Probable oxidoreductase
gene-Rv0795,Rv0795,Rv0795,Putative transposase for insertion sequence element IS6110 (fragment)
gene-Rv0796,Rv0796,Rv0796,Putative transposase for insertion sequence element IS6110
gene-Rv0797,Rv0797,Rv0797,Putative transposase for insertion sequence element IS1547
gene-Rv0798c,Rv0798c,cfp29,29 KDa antigen CFP29
gene-Rv0799c,Rv0799c,Rv0799c,Conserved protein
gene-Rv0800,Rv0800,pepC,Probable aminopeptidase PepC
gene-Rv0801,Rv0801,Rv0801,Conserved protein
gene-Rv0802c,Rv0802c,Rv0802c,Possible succinyltransferase in the GCN5-related N-acetyltransferase family
gene-Rv0803,Rv0803,purL,Phosphoribosylformylglycinamidine synthase II PurL (FGAM synthase II)
gene-Rv0804,Rv0804,Rv0804,Conserved hypothetical protein
gene-Rv0805,Rv0805,Rv0805,Class III cyclic nucleotide phosphodiesterase (cNMP PDE)
gene-Rv0806c,Rv0806c,cpsY,Possible UDP-glucose-4-epimerase CpsY (galactowaldenase) (UDP-galactose-4-epimerase) (uridine diphosphate galactose-4-epimerase) (uridine diphospho-galactose-4-epimerase)
gene-Rv0807,Rv0807,Rv0807,Conserved hypothetical protein
gene-Rv0808,Rv0808,purF,Amidophosphoribosyltransferase PurF (glutamine phosphoribosylpyrophosphate amidotransferase) (ATASE) (gpatase)
gene-Rv0809,Rv0809,purM,Probable phosphoribosylformylglycinamidine CYCLO-ligase PurM (AIRS) (phosphoribosyl-aminoimidazole synthetase) (air synthase)
gene-Rv0810c,Rv0810c,Rv0810c,Conserved hypothetical protein
gene-Rv0811c,Rv0811c,Rv0811c,Conserved protein
gene-Rv0812,Rv0812,Rv0812,Probable amino acid aminotransferase
gene-Rv0813c,Rv0813c,Rv0813c,Conserved protein
gene-Rv0814c,Rv0814c,sseC2,Conserved protein SseC2
gene-Rv0815c,Rv0815c,cysA2,Probable thiosulfate sulfurtransferase CysA2 (rhodanese-like protein) (thiosulfate cyanide transsulfurase) (thiosulfate thiotransferase)
gene-Rv0816c,Rv0816c,thiX,Probable thioredoxin ThiX
gene-Rv0817c,Rv0817c,Rv0817c,Probable conserved exported protein
gene-Rv0818,Rv0818,Rv0818,Transcriptional regulatory protein
gene-Rv0819,Rv0819,mshD,"GCN5-related N-acetyltransferase, MshD"
gene-Rv0820,Rv0820,phoT,Probable phosphate-transport ATP-binding protein ABC transporter PhoT
gene-Rv0821c,Rv0821c,phoY2,Probable phosphate-transport system transcriptional regulatory protein PhoY2
gene-Rv0822c,Rv0822c,Rv0822c,Conserved protein
gene-Rv0823c,Rv0823c,Rv0823c,Possible transcriptional regulatory protein
gene-Rv0824c,Rv0824c,desA1,Probable acyl-[acyl-carrier protein] desaturase DesA1 (acyl-[ACP] desaturase) (stearoyl-ACP desaturase) (protein Des)
gene-Rv0825c,Rv0825c,Rv0825c,Conserved protein
gene-Rv0826,Rv0826,Rv0826,Conserved hypothetical protein
gene-Rv0827c,Rv0827c,kmtR,Metal sensor transcriptional regulator KmtR (ArsR-SmtB family)
gene-Rv0828c,Rv0828c,Rv0828c,Possible deaminase
gene-Rv0829,Rv0829,Rv0829,Possible transposase (fragment)
gene-Rv0830,Rv0830,Rv0830,Possible S-adenosylmethionine-dependent methyltransferase
gene-Rv0831c,Rv0831c,Rv0831c,Conserved protein
gene-Rv0832,Rv0832,PE-PGRS12,PE-PGRS family protein PE_PGRS12
gene-Rv0833,Rv0833,PE-PGRS13,PE-PGRS family protein PE_PGRS13
gene-Rv0834c,Rv0834c,PE-PGRS14,PE-PGRS family protein PE_PGRS14
gene-Rv0835,Rv0835,lpqQ,Possible lipoprotein LpqQ
gene-Rv0836c,Rv0836c,Rv0836c,Hypothetical protein
gene-Rv0837c,Rv0837c,Rv0837c,Hypothetical protein
gene-Rv0838,Rv0838,lpqR,Probable conserved lipoprotein LpqR
gene-Rv0839,Rv0839,Rv0839,Conserved hypothetical protein
gene-Rv0840c,Rv0840c,pip,Probable proline iminopeptidase Pip (prolyl aminopeptidase) (pap)
gene-Rv0841,Rv0841,Rv0841,Probable conserved transmembrane protein
gene-Rv0842,Rv0842,Rv0842,Probable conserved integral membrane protein
gene-Rv0843,Rv0843,Rv0843,Probable dehydrogenase
gene-Rv0844c,Rv0844c,narL,Possible nitrate/nitrite response transcriptional regulatory protein NarL
gene-Rv0845,Rv0845,Rv0845,Possible two component sensor kinase
gene-Rv0846c,Rv0846c,Rv0846c,Probable oxidase
gene-Rv0847,Rv0847,lpqS,Probable lipoprotein LpqS
gene-Rv0848,Rv0848,cysK2,Possible cysteine synthase a CysK2 (O-acetylserine sulfhydrylase) (O-acetylserine (thiol)-lyase) (CSASE)
gene-Rv0849,Rv0849,Rv0849,Probable conserved integral membrane transport protein
gene-Rv0850,Rv0850,Rv0850,Putative transposase (fragment)
gene-Rv0851c,Rv0851c,Rv0851c,Probable short-chain type dehydrogenase/reductase
gene-Rv0852,Rv0852,fadD16,Possible fatty-acid-CoA ligase FadD16 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)
gene-Rv0853c,Rv0853c,pdc,Probable pyruvate or indole-3-pyruvate decarboxylase Pdc
gene-Rv0854,Rv0854,Rv0854,Conserved protein
gene-Rv0855,Rv0855,far,Probable fatty-acid-CoA racemase Far
gene-Rv0856,Rv0856,Rv0856,Conserved hypothetical protein
gene-Rv0857,Rv0857,Rv0857,Conserved hypothetical protein
gene-Rv0858c,Rv0858c,dapC,Probable N-succinyldiaminopimelate aminotransferase DapC (DAP-at)
gene-Rv0859,Rv0859,fadA,Possible acyl-CoA thiolase FadA
gene-Rv0860,Rv0860,fadB,Probable fatty oxidation protein FadB
gene-Rv0861c,Rv0861c,ercc3,DNA helicase Ercc3
gene-Rv0862c,Rv0862c,Rv0862c,Conserved protein
gene-Rv0863,Rv0863,Rv0863,Conserved hypothetical protein
gene-Rv0864,Rv0864,moaC2,Probable molybdenum cofactor biosynthesis protein C 2 MoaC2
gene-Rv0865,Rv0865,mog,Probable molybdopterin biosynthesis Mog protein
gene-Rv0866,Rv0866,moaE2,"Probable molybdenum cofactor biosynthesis protein E2 MoaE2 (molybdopterin converting factor large subunit) (molybdopterin [MPT] converting factor, subunit 2)"
gene-Rv0867c,Rv0867c,rpfA,Possible resuscitation-promoting factor RpfA
gene-Rv0868c,Rv0868c,moaD2,"Probable molybdenum cofactor biosynthesis protein D 2 MoaD2 (molybdopterin converting factor small subunit) (molybdopterin [MPT] converting factor, subunit 1)"
gene-Rv0869c,Rv0869c,moaA2,Probable molybdenum cofactor biosynthesis protein A2 MoaA2
gene-Rv0870c,Rv0870c,Rv0870c,Possible conserved integral membrane protein
gene-Rv0871,Rv0871,cspB,Probable cold shock-like protein B CspB
gene-Rv0872c,Rv0872c,PE-PGRS15,PE-PGRS family protein PE_PGRS15
gene-Rv0873,Rv0873,fadE10,Probable acyl-CoA dehydrogenase FadE10
gene-Rv0874c,Rv0874c,Rv0874c,Conserved hypothetical protein
gene-Rv0875c,Rv0875c,Rv0875c,Possible conserved exported protein
gene-Rv0876c,Rv0876c,Rv0876c,Possible conserved transmembrane protein
gene-Rv0877,Rv0877,Rv0877,Conserved hypothetical protein
gene-Rv0878c,Rv0878c,PPE13,PPE family protein PPE13
gene-Rv0879c,Rv0879c,Rv0879c,Possible conserved transmembrane protein
gene-Rv0880,Rv0880,Rv0880,Possible transcriptional regulatory protein (possibly MarR-family)
gene-Rv0881,Rv0881,Rv0881,Possible rRNA methyltransferase (rRNA methylase)
gene-Rv0882,Rv0882,Rv0882,Probable transmembrane protein
gene-Rv0883c,Rv0883c,Rv0883c,Conserved hypothetical protein
gene-Rv0884c,Rv0884c,serC,Possible phosphoserine aminotransferase SerC (PSAT)
gene-Rv0885,Rv0885,Rv0885,Conserved hypothetical protein
gene-Rv0886,Rv0886,fprB,Probable NADPH:adrenodoxin oxidoreductase FprB (adrenodoxin reductase) (AR) (ferredoxin-NADP(+) reductase)
gene-Rv0887c,Rv0887c,Rv0887c,Conserved hypothetical protein
gene-Rv0888,Rv0888,Rv0888,Probable exported protein
gene-Rv0889c,Rv0889c,citA,Probable citrate synthase II CitA
gene-Rv0890c,Rv0890c,Rv0890c,Probable transcriptional regulatory protein (probably LuxR-family)
gene-Rv0891c,Rv0891c,Rv0891c,Possible transcriptional regulatory protein
gene-Rv0892,Rv0892,Rv0892,Probable monooxygenase
gene-Rv0893c,Rv0893c,Rv0893c,Possible S-adenosylmethionine-dependent methyltransferase
gene-Rv0894,Rv0894,Rv0894,Possible transcriptional regulatory protein (possibly LuxR-family)
gene-Rv0895,Rv0895,Rv0895,Possible triacylglycerol synthase (diacylglycerol acyltransferase)
gene-Rv0896,Rv0896,gltA2,Probable citrate synthase I GltA2
gene-Rv0897c,Rv0897c,Rv0897c,Probable oxidoreductase
gene-Rv0898c,Rv0898c,Rv0898c,Conserved hypothetical protein
gene-Rv0899,Rv0899,ompA,Outer membrane protein A OmpA
gene-Rv0900,Rv0900,Rv0900,Possible membrane protein
gene-Rv0901,Rv0901,Rv0901,Possible conserved exported or membrane protein
gene-Rv0902c,Rv0902c,prrB,Two component sensor histidine kinase PrrB
gene-Rv0903c,Rv0903c,prrA,Two component response transcriptional regulatory protein PrrA
gene-Rv0904c,Rv0904c,accD3,Putative acetyl-coenzyme A carboxylase carboxyl transferase (subunit beta) AccD3 (accase beta chain)
gene-Rv0905,Rv0905,echA6,Possible enoyl-CoA hydratase EchA6 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)
gene-Rv0906,Rv0906,Rv0906,Conserved protein
gene-Rv0907,Rv0907,Rv0907,Conserved protein
gene-Rv0908,Rv0908,ctpE,Probable metal cation transporter ATPase P-type CtpE
gene-Rv0909,Rv0909,Rv0909,Conserved hypothetical protein
gene-Rv0910,Rv0910,Rv0910,Conserved hypothetical protein
gene-Rv0911,Rv0911,Rv0911,Conserved protein
gene-Rv0912,Rv0912,Rv0912,Probable conserved transmembrane protein
gene-Rv0913c,Rv0913c,Rv0913c,Possible dioxygenase
gene-Rv0914c,Rv0914c,Rv0914c,Possible lipid carrier protein or keto acyl-CoA thiolase
gene-Rv0915c,Rv0915c,PPE14,PPE family protein PPE14
gene-Rv0916c,Rv0916c,PE7,PE family protein PE7
gene-Rv0917,Rv0917,betP,Possible glycine betaine transport integral membrane protein BetP
gene-Rv0918,Rv0918,Rv0918,Conserved protein
gene-Rv0919,Rv0919,Rv0919,GCN5-related N-acetyltransferase
gene-Rv0920c,Rv0920c,Rv0920c,Probable transposase
gene-Rv0921,Rv0921,Rv0921,Possible resolvase
gene-Rv0922,Rv0922,Rv0922,Possible transposase
gene-Rv0923c,Rv0923c,Rv0923c,Conserved hypothetical protein
gene-Rv0924c,Rv0924c,mntH,Divalent cation-transport integral membrane protein MntH (BRAMP) (MRAMP)
gene-Rv0925c,Rv0925c,Rv0925c,Conserved protein
gene-Rv0926c,Rv0926c,Rv0926c,Conserved hypothetical protein
gene-Rv0927c,Rv0927c,Rv0927c,Probable short-chain type dehydrogenase/reductase
gene-Rv0928,Rv0928,pstS3,Periplasmic phosphate-binding lipoprotein PstS3 (PBP-3) (PstS3) (PHOS1)
gene-Rv0929,Rv0929,pstC2,Phosphate-transport integral membrane ABC transporter PstC2
gene-Rv0930,Rv0930,pstA1,Probable phosphate-transport integral membrane ABC transporter PstA1
gene-Rv0931c,Rv0931c,pknD,Transmembrane serine/threonine-protein kinase D PknD (protein kinase D) (STPK D)
gene-Rv0932c,Rv0932c,pstS2,Periplasmic phosphate-binding lipoprotein PstS2 (PBP-2) (PstS2)
gene-Rv0933,Rv0933,pstB,Phosphate-transport ATP-binding protein ABC transporter PstB
gene-Rv0934,Rv0934,pstS1,Periplasmic phosphate-binding lipoprotein PstS1 (PBP-1) (PstS1)
gene-Rv0935,Rv0935,pstC1,Phosphate-transport integral membrane ABC transporter PstC1
gene-Rv0936,Rv0936,pstA2,Phosphate-transport integral membrane ABC transporter PstA2
gene-Rv0937c,Rv0937c,mku,"DNA end-binding protein, Mku"
gene-Rv0938,Rv0938,ligD,ATP dependent DNA ligase LigD (ATP dependent polydeoxyribonucleotide synthase) (thermostable DNA ligase) (ATP dependent polynucleotide ligase) (sealase) (DNA repair enzyme) (DNA joinase)
gene-Rv0939,Rv0939,Rv0939,"Possible bifunctional enzyme: 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (HHDD isomerase) + cyclase/dehydrase"
gene-Rv0940c,Rv0940c,Rv0940c,Possible oxidoreductase
gene-Rv0941c,Rv0941c,Rv0941c,Conserved hypothetical protein
gene-Rv0942,Rv0942,Rv0942,Hypothetical protein
